,Unnamed: 0,mrt_station_name,latitude,longitude
70,70,Buangkok Station,1.38029530187169,103.895445384813
71,71,Sengkang Station,1.39160936379906,103.895442583336
72,72,Punggol Station,1.41684852031206,103.906650789313
73,73,Punggol Coast Station,1.41492733388605,103.910166388177
74,74,Bras Basah Station,1.29679449596126,103.850948470449
75,75,Esplanade Station,1.29343297702577,103.855033936235
76,76,Promenade Station,1.29399856859237,103.860350000466
77,77,Nicoll Highway Station,1.29958736473477,103.864040115181
78,78,Stadium Station,1.30230108377856,103.876473975339
79,79,Mountbatten Station,1.30617247159373,103.882429929313
80,80,Dakota Station,1.30833703867445,103.888614668226
81,81,MacPherson Station,1.32607760144293,103.890391305997
82,82,Tai Seng Station,1.33502077839157,103.888194498854
83,83,Bartley Station,1.34286558140547,103.879701080192
84,84,Lorong Chuan Station,1.35163927757418,103.863945738773
85,85,Marymount Station,1.34870726290354,103.839423132604
86,86,Caldecott Station,1.33774791353696,103.839818826097
87,87,Botanic Gardens Station,1.32219000242716,103.815121122527
88,88,Farrer Road Station,1.31247324104741,103.853929521964
89,89,Holland Village Station,1.3121924408633,103.796411010764
90,90,one-north Station,1.29972702079326,103.787478063884
91,91,Kent Ridge Station,1.29353698622126,103.784572366867
92,92,Haw Par Villa Station,1.28260725045254,103.781795517386
93,93,Pasir Panjang Station,1.27045504095668,103.798530575512
94,94,Labrador Park Station,1.2722270505362,103.802744505566
95,95,Telok Blangah Station,1.27070647772509,103.809761611219
96,96,Bayfront Station,1.28179750996498,103.859036968624
97,97,Bukit Panjang Station,1.37792694616982,103.763102931112
98,98,Cashew Station,1.36984601365741,103.764315051619
99,99,Hillview Station,1.36288845715168,103.767780907707
100,100,Beauty World Station,1.34090149001429,103.775746717778
101,101,King Albert Park Station,1.335893496278,103.783235863233
102,102,Sixth Avenue Station,1.33085764536226,103.796906838288
103,103,Tan Kah Kee Station,1.32639224146351,103.806548201692
104,104,Stevens Station,1.32006555750626,103.826024401924
105,105,Rochor Station,1.30385218555028,103.852769429428
106,106,Downtown Station,1.27944638178916,103.852840829581
107,107,Telok Ayer Station,1.28206894769394,103.848648781083
108,108,Fort Canning Station,1.29248194822996,103.844331362465
109,109,Bencoolen Station,1.29891843369422,103.850353762717
110,110,Jalan Besar Station,1.3051713878069,103.855295713435
111,111,Bendemeer Station,1.31367252847691,103.862977620945
112,112,Geylang Bahru Station,1.32524120827033,103.869346863266
113,113,Mattar Station,1.32687671501334,103.883247509542
114,114,Ubi Station,1.3341646156386,103.893687591258
115,115,Kaki Bukit Station,1.33503853739157,103.908775991205
116,116,Bedok North Station,1.33660782955099,103.932234623286
117,117,Bedok Reservoir Station,1.33660782955099,103.932234623286
118,118,Tampines West Station,1.3456336579777,103.938492495285
119,119,Tampines East Station,1.35619148271544,103.9546344625
120,120,Upper Changi Station,1.36978735831026,103.983270740951
121,121,Woodlands North Station,1.44778217342648,103.7851355073
122,122,Woodlands South Station,1.42748811362716,103.792729941333
123,123,Springleaf Station,1.39910633971842,103.81787186989
124,124,Lentor Station,1.38550657972169,103.835743809669
125,125,Mayflower Station,1.37302055474101,103.836827838274
126,126,Bright Hill Station,1.36384676605097,103.833899206658
127,127,Upper Thomson Station,1.37049702188111,103.828169183214
